---
source: R[v4.5.0]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-08-18 13:52:36
schema:
  fields:
  - name: species
    type: character
  - name: year_
    type: integer
  - name: nest
    type: character
  - name: male_id
    type: integer
  - name: female_id
    type: integer
  - name: lat
    type: numeric
  - name: lon
    type: numeric
  - name: initiation
    type: POSIXct
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,year_,nest,male_id,female_id,lat,lon,initiation
REPH,2018,R908,270170567,270170566,71.321865,-156.642201,2018-06-25T15:07:00Z
REPH,2018,R909,270170763,270170764,71.31845,-156.64956,2018-06-27T15:12:00Z
REPH,2018,R910,270170744,270170076,71.32233,-156.655852,2018-06-26T08:14:44Z
REPH,2019,R1001,270170961,270170963,71.315645,-156.659077,2019-06-14T12:15:18Z
REPH,2019,R1002,273145153,270170850,71.315597,-156.651362,2019-06-13T23:40:48Z
REPH,2019,R1003,273145301,270171000,71.320876,-156.645997,2019-06-26T17:14:59Z
REPH,2019,R201,270170620,273145050,71.324033,-156.633078,2019-06-08T12:12:00Z
REPH,2019,R202,270170907,19202,71.321321,-156.675787,2019-06-09T09:39:30Z
REPH,2019,R203,270170736,270170737,71.319504,-156.64932,2019-06-11T07:39:34Z
REPH,2019,R204,270170089,273145105,71.32327,-156.626813,2019-06-10T14:41:55Z
REPH,2019,R205,273145058,270170925,71.323889,-156.631428,2019-06-08T10:00:00Z
REPH,2019,R206,273145072,270170901,71.323379,-156.647513,2019-06-09T10:12:00Z
REPH,2019,R207,273145082,273145121,71.322084,-156.657107,2019-06-11T07:42:32Z
REPH,2019,R208,270170852,273145144,71.320709,-156.636531,2019-06-14T17:30:00Z
REPH,2019,R209,273145124,273145125,71.322106,-156.649644,2019-06-12T11:19:03Z
REPH,2019,R210,270170554,270170564,71.324145,-156.643246,2019-06-12T11:19:37Z
REPH,2019,R211,273145037,273145036,71.320696,-156.674958,2019-06-11T12:00:00Z
REPH,2019,R212,273145054,273145055,71.324872,-156.6426,2019-06-12T06:34:30Z
REPH,2019,R213,273145071,273145070,71.325966,-156.639203,2019-06-15T16:10:36Z
REPH,2019,R214,273145086,273145147,71.319628,-156.647052,2019-06-14T14:30:00Z
REPH,2019,R215,270170838,270170916,71.317189,-156.653916,2019-06-10T08:46:54Z
REPH,2019,R216,273145145,270170864,71.313235,-156.662221,2019-06-12T08:41:55Z
REPH,2019,R217,270170830,273145036,71.321848,-156.672965,2019-06-15T12:00:00Z
REPH,2019,R218,273145126,270170942,71.3212,-156.660892,2019-06-17T12:18:36Z
REPH,2019,R220,270170914,273145109,71.326083,-156.64142,2019-06-15T10:21:28Z
REPH,2019,R221,270170929,273145131,71.326923,-156.641617,2019-06-15T10:00:48Z
REPH,2019,R225,273145081,273145080,71.318561,-156.651464,2019-06-15T11:43:23Z
REPH,2019,R226,270170932,,71.318839,-156.669684,2019-06-17T12:00:00Z
REPH,2019,R227,273145122,273145123,71.322129,-156.655821,2019-06-16T11:07:10Z
REPH,2019,R228,273145151,273145152,71.3218,-156.665697,2019-06-22T11:45:00Z
REPH,2019,R229,273145091,273145098,71.317392,-156.65207,2019-06-22T07:33:33Z
REPH,2019,R230,273145240,273145241,71.323643,-156.623772,2019-06-29T12:27:24Z
REPH,2019,R301,270170846,270170403,71.325608,-156.633363,2019-06-05T17:57:00Z
REPH,2019,R302,270170532,270170922,71.326254,-156.632982,2019-06-10T15:47:51Z
REPH,2019,R303,273145056,270170928,71.322616,-156.641328,2019-06-09T15:42:00Z
